Major Group|Industry Group|Description
01|011|Cash Grains
01|013|Field Crops, Except Cash Grains
01|016|Vegetables And Melons
01|017|Fruits And Tree Nuts
01|018|Horticultural Specialties
01|019|General Farms, Primarily Crop
02|021|Livestock, Except Dairy And Poultry
02|024|Dairy Farms
02|025|Poultry And Eggs
02|027|Animal Specialties
02|029|General Farms, Primarily Livestock And Animal
07|071|Soil Preparation Services
07|072|Crop Services
07|074|Veterinary Services
07|075|Animal Services, Except Veterinary
07|076|Farm Labor And Management Services
07|078|Landscape And Horticultural Services
08|081|Timber Tracts
08|083|Forest Nurseries And Gathering Of Forest
08|085|Forestry Services
09|091|Commercial Fishing
09|092|Fish Hatcheries And Preserves
09|097|Hunting And Trapping, And Game Propagation
10|101|Iron Ores
10|102|Copper Ores
10|103|Lead And Zinc Ores
10|104|Gold And Silver Ores
10|106|Ferroalloy Ores, Except Vanadium
10|108|Metal Mining Services
10|109|Miscellaneous Metal Ores
12|122|Bituminous Coal And Lignite Mining
12|123|Anthracite Mining
12|124|Coal Mining Services
13|131|Crude Petroleum And Natural Gas
13|132|Natural Gas Liquids
13|138|Oil And Gas Field Services
14|141|Dimension Stone
14|142|Crushed And Broken Stone, Including Riprap
14|144|Sand And Gravel
14|145|Clay, Ceramic, And Refractory Minerals
14|147|Chemical And Fertilizer Mineral Mining
14|148|Nonmetallic Minerals Services, Except Fuels
14|149|Miscellaneous Nonmetallic Minerals, Except
15|152|General Building Contractors-residential
15|153|Operative Builders
15|154|General Building Contractors-nonresidential
16|161|Highway And Street Construction, Except
16|162|Heavy Construction, Except Highway And Street
17|171|Plumbing, Heating And Air-conditioning
17|172|Painting And Paper Hanging
17|173|Electrical Work
17|174|Masonry, Stonework, Tile Setting, And Plastering
17|175|Carpentry And Floor Work
17|176|Roofing, Siding, And Sheet Metal Work
17|177|Concrete Work
17|178|Water Well Drilling
17|179|Miscellaneous Special Trade Contractors
20|201|Meat Products
20|202|Dairy Products
20|203|Canned, Frozen, And Preserved Fruits, Vegetables, and Food Specialties
20|204|Grain Mill Products
20|205|Bakery Products
20|206|Sugar And Confectionery Products
20|207|Fats And Oils
20|208|Beverages
20|209|Miscellaneous Food Preparations And Kindred
21|211|Cigarettes
21|212|Cigars
21|213|Chewing And Smoking Tobacco And Snuff
21|214|Tobacco Stemming And Redrying
22|221|Broadwoven Fabric Mills, Cotton
22|222|Broadwoven Fabric Mills, Manmade Fiber And Silk
22|223|Broadwoven Fabric Mills, Wool (including Dyeing and Finishing)
22|224|Narrow Fabric And Other Smallwares Mills, Cotton, Wool, Silk, and Manmade Fiber
22|225|Knitting Mills
22|226|Dyeing And Finishing Textiles, Except Wool Fabrics
22|227|Carpets And Rugs
22|228|Yarn And Thread Mills
22|229|Miscellaneous Textile Goods
23|231|Men's And Boys' Suits, Coats, And Overcoats
23|232|Men's And Boys' Furnishings, Work Clothing, And Allied Garments
23|233|Women's, Misses', And Juniors' Outerwear
23|234|Women's, Misses', Children's, And Infants'
23|235|Hats, Caps, And Millinery
23|236|Girls', Children's, And Infants' Outerwear
23|237|Fur Goods
23|238|Miscellaneous Apparel And Accessories
23|239|Miscellaneous Fabricated Textile Products
24|241|Logging
24|242|Sawmills And Planing Mills
24|243|Millwork, Veneer, Plywood, And Structural Wood
24|244|Wood Containers
24|245|Wood Buildings And Mobile Homes
24|249|Miscellaneous Wood Products
25|251|Household Furniture
25|252|Office Furniture
25|253|Public Building And Related Furniture
25|254|Partitions, Shelving, Lockers, And Office And
25|259|Miscellaneous Furniture And Fixtures
26|261|Pulp Mills
26|262|Paper Mills
26|263|Paperboard Mills
26|265|Paperboard Containers And Boxes
26|267|Converted Paper And Paperboard Products, Except
27|271|Newspaper
27|272|Periodical
27|273|Books
27|274|Miscellaneous Publishing
27|275|Commercial Printing
27|276|Manifold Business Forms
27|277|Greeting Cards
27|278|Blankbooks, Looseleaf Binders, And Bookbinding
27|279|Service Industries For The Printing Trade
28|281|Industrial Inorganic Chemicals
28|282|Plastics Materials And Synthetic Resins, Synthetic
28|283|Drugs
28|284|Soap, Detergents, And Cleaning Preparations; Perfumes, Cosmetics, and Other Toilet Preparations
28|285|Paints, Varnishes, Lacquers, Enamels, And Allied
28|286|Industrial Organic Chemicals
28|287|Agricultural Chemicals
28|289|Miscellaneous Chemical Products
29|291|Petroleum Refining
29|295|Asphalt Paving And Roofing Materials
29|299|Miscellaneous Products Of Petroleum And Coal
30|301|Tires And Inner Tubes
30|302|Rubber And Plastics Footwear
30|305|Gaskets, Packing, And Sealing Devices And Rubber
30|306|Fabricated Rubber Products, Not Elsewhere
30|308|Miscellaneous Plastics Products
31|311|Leather Tanning And Finishing
31|313|Boot And Shoe Cut Stock And Findings
31|314|Footwear, Except Rubber
31|315|Leather Gloves And Mittens
31|316|Luggage
31|317|Handbags And Other Personal Leather Goods
31|319|Leather Goods, Not Elsewhere Classified
32|321|Flat Glass
32|322|Glass And Glassware, Pressed Or Blown
32|323|Glass Products, Made Of Purchased Glass
32|324|Cement, Hydraulic
32|325|Structural Clay Products
32|326|Pottery And Related Products
32|327|Concrete, Gypsum, And Plaster Products
32|328|Cut Stone And Stone Products
32|329|Abrasive, Asbestos, And Miscellaneous
33|331|Steel Works, Blast Furnaces, And Rolling And Finishing Mills
33|332|Iron And Steel Foundries
33|333|Primary Smelting And Refining Of Nonferrous
33|334|Secondary Smelting And Refining Of Nonferrous
33|335|Rolling, Drawing, And Extruding Of Nonferrous
33|336|Nonferrous Foundries (castings)
33|339|Miscellaneous Primary Metal Products
34|341|Metal Cans And Shipping Containers
34|342|Cutlery, Handtools, And General Hardware
34|343|Heating Equipment, Except Electric And Warm Air;
34|344|Fabricated Structural Metal Products
34|345|Screw Machine Products, And Bolts, Nuts, Screws, Rivets, And Washers
34|346|Metal Forgings And Stampings
34|347|Coating, Engraving, And Allied Services
34|348|Ordnance And Accessories, Except Vehicles And Guided Missiles
34|349|Miscellaneous Fabricated Metal Products
35|351|Engines And Turbines
35|352|Farm And Garden Machinery And Equipment
35|353|Construction, Mining, And Materials Handling
35|354|Metalworking Machinery And Equipment
35|355|Special Industry Machinery, Except Metalworking
35|356|General Industrial Machinery And Equipment
35|357|Computer And Office Equipment
35|358|Refrigeration And Service Industry Machinery
35|359|Miscellaneous Industrial And Commercial
36|361|Electric Transmission And Distribution Equipment
36|362|Electrical Industrial Apparatus
36|363|Household Appliances
36|364|Electric Lighting And Wiring Equipment
36|365|Household Audio And Video Equipment, And Audio
36|366|Communications Equipment
36|367|Electronic Components And Accessories
36|369|Miscellaneous Electrical Machinery, Equipment, and Supplies
37|371|Motor Vehicles And Motor Vehicle Equipment
37|372|Aircraft And Parts
37|373|Ship And Boat Building And Repairing
37|374|Railroad Equipment
37|375|Motorcycles, Bicycles, And Parts
37|376|Guided Missiles And Space Vehicles And Parts
37|379|Miscellaneous Transportation Equipment
38|381|Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems, Instruments, and Equipment
38|382|Laboratory Apparatus And Analytical, Optical, Measuring, and Controlling Instruments
38|384|Surgical, Medical, And Dental Instruments And Supplies
38|385|Ophthalmic Goods
38|386|Photographic Equipment And Supplies
38|387|Watches, Clocks, Clockwork Operated Devices, and Parts
39|391|Jewelry, Silverware, And Plated Ware
39|393|Musical Instruments
39|394|Dolls, Toys, Games And Sporting And Athletic
39|395|Pens, Pencils, And Other Artists Materials
39|396|Costume Jewelry, Costume Novelties, Buttons, And Miscellaneous Notions, Ecept Precious Metal
39|399|Miscellaneous Manufacturing Industries
40|401|Railroads
41|411|Local And Suburban Passenger Transportation
41|412|Taxicabs
41|413|Intercity And Rural Bus Transportation
41|414|Bus Charter Service
41|415|School Buses
41|417|Terminal And Service Facilities For Motor Vehicle
42|421|Trucking And Courier Services, Except Air
42|422|Public Warehousing And Storage
42|423|Terminal And Joint Terminal Maintenance
43|431|United States Postal Service
44|441|Deep Sea Foreign Transportation Of Freight
44|442|Deep Sea Domestic Transportation Of Freight
44|443|Freight Transportation On The Great Lakes-st.
44|444|Water Transportation Of Freight, Not Elsewhere
44|448|Water Transportation Of Passengers
44|449|Services Incidental To Water Transportation
45|451|Air Transportation, Scheduled, And Air Courier
45|452|Air Transportation, Nonscheduled
45|458|Airports, Flying Fields, And Airport Terminal
46|461|Pipelines, Except Natural Gas
47|472|Arrangement Of Passenger Transportation
47|473|Arrangement Of Transportation Of Freight And Cargo
47|474|Rental Of Railroad Cars
47|478|Miscellaneous Services Incidental To Transportation
48|481|Telephone Communications
48|482|Telegraph And Other Message Communications
48|483|Radio And Television Broadcasting Stations
48|484|Cable And Other Pay Television Services
48|489|Communications Services, Not Elsewhere
49|491|Electric Services
49|492|Gas Production And Distribution
49|493|Combination Electric And Gas, And Other Utility
49|494|Water Supply
49|495|Sanitary Services
49|496|Steam And Air-conditioning Supply
49|497|Irrigation Systems
50|501|Motor Vehicles And Motor Vehicle Parts And Supplies
50|502|Furniture And Home Furnishings
50|503|Lumber And Other Construction Materials
50|504|Professional And Commercial Equipment And Supplies
50|505|Metals And Minerals, Except Petroleum
50|506|Electrical Goods
