Industry Group|SIC|Description
011|0111|Wheat
011|0112|Rice
012|0115|Corn
013|0116|Soybeans
014|0119|Cash Grains, Not Elsewhere Classified
015|0131|Cotton
016|0132|Tobacco
017|0133|Sugarcane and Sugar Beets
018|0134|Irish Potatoes
019|0139|Field Crops, Except Cash Grains, Not Elsewhere Classified
020|0161|Vegetables and Melons
021|0171|Berry Crops
022|0172|Grapes
023|0173|Tree Nuts
024|0174|Citrus Fruits
025|0175|Deciduous Tree Fruits
026|0179|Fruits and Tree Nuts, Not Elsewhere Classified
027|0181|Ornamental Floriculture and Nursery Products
028|0182|Food Crops Grown Under Cover
029|0191|General Farms, Primarily Crop
030|0211|Beef Cattle Feedlots
031|0212|Beef Cattle, Except Feedlots
032|0213|Hogs
033|0214|Sheep and Goats
034|0219|General Livestock, Except Dairy and Poultry
035|0241|Dairy Farms
036|0251|Broiler, Fryer, and Roaster Chickens
037|0252|Chicken Eggs
038|0253|Turkeys and Turkey Eggs
039|0254|Poultry Hatcheries
040|0259|Poultry and Eggs, Not Elsewhere Classified
041|0271|Fur-Bearing Animals and Rabbits
042|0272|Horses and Other Equines
043|0273|Animal Aquaculture
044|0279|Animal Specialties, Not Elsewhere Classified
045|0291|General Farms, Primarily Livestock and Animal Specialties
046|0711|Soil Preparation Services
047|0721|Crop Planting, Cultivating, and Protecting
048|0722|Crop Harvesting, Primarily by Machine
049|0723|Crop Preparation Services for Market, Except Cotton Ginning
050|0724|Cotton Ginning
051|0741|Veterinary Services for Livestock
052|0742|Veterinary Services for Animal Specialties
053|0751|Livestock Services, Except Veterinary
054|0752|Animal Specialty Services, Except Veterinary
055|0761|Farm Labor Contractors and Crew Leaders
056|0762|Farm Management Services
057|0781|Landscape Counseling and Planning
058|0782|Lawn and Garden Services
059|0783|Ornamental Shrub and Tree Services
060|0811|Timber Tracts
061|0831|Forest Nurseries and Gathering of Forest Products
062|0851|Forestry Services
063|0912|Finfish
064|0913|Shellfish
065|0919|Miscellaneous Marine Products
066|0921|Fish Hatcheries and Preserves
067|0971|Hunting and Trapping, and Game Propagation
101|1011|Iron Ores
102|1021|Copper Ores
103|1031|Lead and Zinc Ores
104|1041|Gold Ores
104|1044|Silver Ores
106|1061|Ferroalloy Ores, Except Vanadium
108|1081|Metal Mining Services
109|1094|Uranium-Radium-Vanadium Ores
109|1099|Miscellaneous Metal Ores, Not Elsewhere Classified
122|1221|Bituminous Coal and Lignite Surface Mining
122|1222|Bituminous Coal Underground Mining
123|1231|Anthracite Mining
124|1241|Coal Mining Services
131|1311|Crude Petroleum and Natural Gas
132|1321|Natural Gas Liquids
138|1381|Drilling Oil and Gas Wells
138|1382|Oil and Gas Field Exploration Services
138|1389|Oil and Gas Field Services, Not Elsewhere Classified
141|1411|Dimension Stone
142|1422|Crushed and Broken Limestone
142|1423|Crushed and Broken Granite
142|1429|Crushed and Broken Stone, Not Elsewhere Classified
144|1442|Construction Sand and Gravel
144|1446|Industrial Sand
145|1455|Kaolin and Ball Clay
145|1459|Clay, Ceramic, and Refractory Minerals, Not Elsewhere Classified
147|1474|Potash, Soda, and Borate Minerals
147|1475|Phosphate Rock
147|1479|Chemical and Fertilizer Mineral Mining, Not Elsewhere Classified
148|1481|Nonmetallic Minerals Services, Except Fuels
149|1499|Miscellaneous Nonmetallic Minerals, Except Fuels
152|1521|General Contractors-Single-Family Houses
152|1522|General Contractors-Residential Buildings, Other Than Single-Family
153|1531|Operative Builders
154|1541|General Contractors-Industrial Buildings and Warehouses
154|1542|General Contractors-Nonresidential Buildings, Other than Industrial Buildings and Warehouses
161|1611|Highway and Street Construction, Except Elevated Highways
